Date,Open,High,Low,Close,Adj Close,Volume,PriceChange,VolumeChange
8/4/80,121.209999,121.629997,119.419998,120.980003,120.980003,41550000,-0.189750022,-10.52971576
8/5/80,120.980003,122.089996,119.959999,120.739998,120.739998,45510000,-0.198384025,9.530685921
8/6/80,120.739998,122.010002,119.940002,121.550003,121.550003,45050000,0.670867164,-1.010766864
8/7/80,121.660004,123.839996,121.660004,123.300003,123.300003,61820000,1.439736698,37.22530522
8/8/80,123.300003,125.230003,122.82,123.610001,123.610001,58860000,0.251417674,-4.788094468
8/11/80,123.610001,125.309998,122.849998,124.779999,124.779999,44690000,0.946523736,-24.07407407
8/12/80,124.779999,125.779999,123.290001,123.790001,123.790001,52050000,-0.793394781,16.46900873
8/13/80,123.790001,124.669998,122.489998,123.279999,123.279999,44350000,-0.411989657,-14.79346782
8/14/80,123.279999,125.620003,122.68,125.25,125.25,47700000,1.597989143,7.553551297
8/15/80,125.25,126.610001,124.57,125.720001,125.720001,47780000,0.375250299,0.167714885
8/18/80,125.279999,125.279999,122.82,123.389999,123.389999,41890000,-1.853326425,-12.32733361
8/19/80,123.389999,124,121.970001,122.599998,122.599998,41930000,-0.640247189,0.095488183
8/20/80,122.599998,124.269997,121.910004,123.769997,123.769997,42560000,0.954322202,1.502504174
8/21/80,123.769997,125.989998,123.610001,125.459999,125.459999,50770000,1.365437538,19.29041353
8/22/80,125.459999,127.779999,125.18,126.019997,126.019997,58210000,0.446355814,14.65432342
8/25/80,126.019997,126.279999,124.650002,125.160004,125.160004,35400000,-0.682425822,-39.18570692
8/26/80,125.160004,126.290001,124.010002,124.839996,124.839996,41700000,-0.255679123,17.79661017
8/27/80,124.839996,124.980003,122.93,123.519997,123.519997,44000000,-1.057352645,5.51558753
8/28/80,123.519997,123.910004,121.610001,122.080002,122.080002,39890000,-1.165799089,-9.340909091
8/29/80,122.080002,123.010002,121.059998,122.379997,122.379997,33510000,0.245736398,-15.99398345
9/2/80,122.379997,124.360001,121.790001,123.739998,123.739998,35290000,1.111293539,5.31184721
9/3/80,123.870003,126.43,123.870003,126.120003,126.120003,52370000,1.92339182,48.39897988
9/4/80,126.120003,127.699997,124.419998,125.419998,125.419998,59030000,-0.55503091,12.71720451
9/5/80,125.419998,126.120003,124.080002,124.879997,124.879997,37990000,-0.430554145,-35.64289344
9/8/80,124.879997,125.669998,122.779999,123.309998,123.309998,42050000,-1.257206148,10.6870229
9/9/80,123.309998,124.519997,121.940002,124.07,124.07,44460000,0.616334452,5.731272295
9/10/80,124.07,125.949997,123.599998,124.809998,124.809998,51430000,0.596435883,15.67701305
9/11/80,124.809998,126.480003,124.190002,125.660004,125.660004,44770000,0.681039992,-12.94964029
9/12/80,125.660004,126.75,124.720001,125.540001,125.540001,47180000,-0.095498167,5.383069019
9/15/80,125.540001,126.349998,124.089996,125.669998,125.669998,44630000,0.103550262,-5.404832556
9/16/80,125.669998,127.779999,125.150002,126.739998,126.739998,57290000,0.851436315,28.36656957
9/17/80,126.739998,129.679993,126.370003,128.869995,128.869995,63990000,1.680603624,11.69488567
9/18/80,128.869995,130.380005,127.629997,128.399994,128.399994,63390000,-0.364709411,-0.937646507
9/19/80,128.399994,130.330002,127.57,129.25,129.25,53780000,0.661998473,-15.16011989
9/22/80,129.25,130.990005,127.889999,130.399994,130.399994,53140000,0.889743907,-1.19003347
9/23/80,130.399994,132.169998,128.550003,129.429993,129.429993,64390000,-0.743865832,21.17049304
